,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
86283,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328555,System - Device Degraded,Corrective COR,2012-08-02 16:22:00,4.0,1.0,0.0,C9387AN,CARTRIDGE  INK,REPAIRABLE,1.0
86426,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6168521,System - Device Degraded,Corrective COR,2014-03-06 16:02:00,5.0,1.0,0.0,921340202-7,"EPRINTER, HP OFFICE JET 6100 - (PROVANTAGE)",CONSUMABLE,1.0
86488,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6554606,System - Device Degraded,Corrective COR,2014-11-07 16:53:00,6.0,1.0,0.0,921340228,RACK DISTRIBUTION UNIT ASSY,REPAIRABLE,1.0
86881,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6747792,System - Device Degraded,Corrective COR,2015-03-23 15:25:00,6.0,1.0,0.0,921340202-7,"EPRINTER, HP OFFICE JET 6100 - (PROVANTAGE)",CONSUMABLE,1.0
87102,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5269110,System - Device Degraded,Corrective COR,2012-06-21 14:10:00,4.0,6.0,0.0,CSP-EST-C,"PLACARD, CUSTOMER SUPPORT PROCEDURES, EST, CONUS",CONSUMABLE,6.0
87103,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5269110,System - Device Degraded,Corrective COR,2012-06-21 14:10:00,4.0,18.0,0.0,921340153-LABEL,"LABEL, FLOOR BOX CAUTION",CONSUMABLE,18.0
87229,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6281184,System - Device Degraded,Corrective COR,2014-05-09 03:00:00,6.0,2.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,2.0
87499,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6640273,System - Device Degraded,Corrective COR,2015-01-16 11:09:00,6.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
87513,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5300322,System - Device Degraded,Corrective COR,2012-07-15 09:12:00,4.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
87588,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5620232,System - Device Degraded,Corrective COR,2013-02-19 10:05:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
88153,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6736096,System - Device Degraded,Corrective COR,2015-03-16 15:08:00,6.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
88159,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5272398,System - Device Degraded,Corrective COR,2012-06-25 07:41:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
88203,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5272575,System - Device Degraded,Corrective COR,2012-06-25 07:52:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
88761,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6217427,System - Device Degraded,Corrective COR,2014-04-04 16:05:00,5.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
88762,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6217427,System - Device Degraded,Corrective COR,2014-04-04 16:05:00,5.0,1.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,1.0
